Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF
PHKD Mendis,Home,v West Indies, West Indies,1,11,2024-10-23,42,2,8,20241023,10,20241023,2.4849066497880004,-10.0,1,0,-0.7897785825893563,-0.37900666717981946,-0.8446738468123606,14,0.17907548685,0.34814634648000004,0.472778167
PHKD Mendis,Home,v West Indies, West Indies,1,0,2024-10-26,42,2,9,20241026,10,20241026,0.0,-10.0,1,0,-0.7897785825893563,-0.37900666717981946,-0.7890291596426343,14,0.3759038,0.29406893313,0.3300272669
PHKD Mendis,Home,v New Zealand, New Zealand,0,0,2024-11-17,42,21,10,20241117,5,20241117,0.0,-5.0,1,0,0.46925943417924393,-0.1550275399003625,-0.7333844724729082,14,0.9893590117000001,0.01012090345841,0.0005200845753498437
PHKD Mendis,Away,v New Zealand, New Zealand,0,3,2025-01-05,42,48,11,20250105,5,20250105,1.3862943611198906,-5.0,0,1,0.46925943417924393,0.16325858833886583,-0.677739785303182,14,0.9370175057,0.05155936587719998,0.011423128637915201
PHKD Mendis,Away,v New Zealand, New Zealand,0,64,2025-01-08,42,2,12,20250108,5,20250108,4.174387269895637,-5.0,0,1,0.46925943417924393,-0.37900666717981946,-0.6220950981334558,14,0.09017224931399999,0.20090351976159998,0.7089242311099998
PHKD Mendis,Away,v New Zealand, New Zealand,0,46,2025-01-11,42,2,13,20250111,5,20250111,3.8501476017100584,-5.0,0,1,0.46925943417924393,-0.37900666717981946,-0.5664504109637296,14,0.07612173669599999,0.22777308411200003,0.6961051793
PHKD Mendis,Home,v Australia, Australia,0,5,2025-02-12,42,31,14,20250212,2,20250212,1.791759469228055,-2.0,1,0,1.224682244240404,-0.03714378870064831,-0.5108057237940034,14,0.8155462996,0.154158342088,0.03029535875999726
PHKD Mendis,Home,v Australia, Australia,0,4,2025-02-14,42,1,15,20250214,2,20250214,1.6094379124341003,-2.0,1,0,1.224682244240404,-0.3907950422997909,-0.4551610366242772,14,0.8966303903000002,0.090825200511,0.012544409960537815
PHKD Mendis,Home,v Bangladesh, Bangladesh,0,0,2025-07-02,42,137,16,20250702,10,20250702,0.0,-10.0,1,0,-0.7897785825893563,1.2124239740163223,-0.399516349454551,14,0.9951023321000001,0.0046728881804955005,0.00022477966524454506
PHKD Mendis,Home,v Bangladesh, Bangladesh,0,33,2025-07-05,42,2,17,20250705,9,20250705,3.5263605246161616,-9.0,1,0,-0.5379709792356362,-0.37900666717981946,-0.3438716622848248,14,0.24162081458999998,0.29021782499,0.4681613610400999
PHKD Mendis,Home,v Bangladesh, Bangladesh,0,16,2025-07-08,42,2,18,20250708,9,20250708,2.833213344056216,-9.0,1,0,-0.5379709792356362,-0.37900666717981946,-0.2882269751150986,14,0.45788895466,0.38300415909999996,0.159106885831872
PHKD Mendis,Away,v Zimbabwe, Zimbabwe,0,57,2025-08-29,42,51,19,20250829,11,20250829,4.060443010546419,-11.0,0,1,-1.0415861859430764,0.1986237136987801,-0.23258228794537242,14,0.073394223704,0.318319455189,0.6082863213
PHKD Mendis,Away,v Zimbabwe, Zimbabwe,1,5,2025-08-31,42,1,20,20250831,11,20250831,1.791759469228055,-11.0,0,1,-1.0415861859430764,-0.3907950422997909,-0.17693760077564624,14,0.24645199525,0.34105217758,0.412495828
PHKD Mendis,Away,v Pakistan, Pakistan,0,9,2025-11-11,42,71,21,20251111,4,20251111,2.302585092994046,-4.0,0,1,0.721067037532964,0.43439121609820847,-0.12129291360592004,14,0.43055154476999996,0.42263409822,0.1468143568945472
PHKD Mendis,Away,v Pakistan, Pakistan,0,44,2025-11-14,42,2,22,20251114,4,20251114,3.8066624897703196,-4.0,0,1,0.721067037532964,-0.37900666717981946,-0.06564822643619385,14,0.070063752478,0.3400196670699999,0.5899165806
PHKD Mendis,Away,v Pakistan, Pakistan,0,10,2025-11-16,42,1,23,20251116,4,20251116,2.3978952727983707,-4.0,0,1,0.721067037532964,-0.3907950422997909,-0.010003539266467654,14,0.40071586400000003,0.43707511290999995,0.16220902281028798
PVD Chameera,Away,v West Indies, West Indies,1,1,2021-03-12,43,1,1,20210312,9,20210312,0.6931471805599453,-9.0,0,1,-0.5379709792356362,-0.3907950422997909,-1.2341866570004438,15,0.14837476262000002,0.6984596641999998,0.15316557264
PVD Chameera,Away,v Bangladesh, Bangladesh,0,5,2021-05-23,43,71,2,20210523,7,20210523,1.791759469228055,-7.0,0,1,-0.034355772528196146,0.43439121609820847,-1.1785419698307178,15,0.39447099261000007,0.5225789061,0.0829501011080086
PVD Chameera,Away,v Bangladesh, Bangladesh,1,4,2021-05-25,43,1,3,20210525,7,20210525,1.6094379124341003,-7.0,0,1,-0.034355772528196146,-0.3907950422997909,-1.1228972826609915,15,0.17160263173999998,0.4712889693,0.35710839958999996
